,ship-city,ship-state,ship-postal-code
37105,Hyderabad,Telangana,500032.0
37106,NOIDA,Uttar Pradesh,201309.0
37107,PUNE,Maharashtra,411045.0
37108,BENGALURU,Karnataka,560016.0
37109,AHMEDABAD,Gujarat,380054.0
37110,HYDERABAD,Telangana,500038.0
37111,CHANGSARI,Assam,781101.0
37112,NOIDA,Uttar Pradesh,201301.0
37113,PUNE,Maharashtra,412308.0
37114,COIMBATORE,Tamil Nadu,641014.0
37115,PUNE,Maharashtra,411046.0
37116,HYDERABAD,Telangana,500038.0
37117,LUCKNOW,Uttar Pradesh,226028.0
37118,NAVI MUMBAI,Maharashtra,400702.0
37119,THRIPPUNITHURA,Kerala,682301.0
37120,THRIPPUNITHURA,Kerala,682301.0
37121,THRIPPUNITHURA,Kerala,682301.0
37122,Hyderabad,Telangana,500055.0
37123,MEERUT,Uttar Pradesh,250001.0
37124,GORAKHPUR,Uttar Pradesh,273001.0
37125,VADODARA,Gujarat,390009.0
37126,HOSHIARPUR,Punjab,146001.0
37127,LUCKNOW,Uttar Pradesh,226021.0
37128,MAHESANA,Gujarat,384002.0
37129,MUMBAI,Maharashtra,400092.0
37130,Tumakuru,Karnataka,572103.0
37131,KOLKATA,West Bengal,700101.0
37132,BENGALURU,Karnataka,560087.0
37133,AMETHI SULTANPUR DISTRICT,Uttar Pradesh,227405.0
37134,KALYAN,Maharashtra,421301.0
37135,BARASAT,West Bengal,700127.0
37136,NEW DELHI,Delhi,110018.0
37137,GUNTUR,Andhra Pradesh,522002.0
37138,GUNTUR,Andhra Pradesh,522002.0
37139,"AZHIKODE ,kannur",Kerala,670009.0
37140,MUMBAI,Maharashtra,400071.0
37141,MUMBAI,Maharashtra,400071.0
37142,MUMBAI,Maharashtra,400071.0
37143,MUMBAI,Maharashtra,400071.0
37144,MUMBAI,Maharashtra,400071.0
37145,MUMBAI,Maharashtra,400071.0
37146,KENDUJHAR,Odisha,758001.0
37147,MAHAD MIDC,Maharashtra,402309.0
37148,COIMBATORE,Tamil Nadu,641028.0
37149,Bangalore Rural,Karnataka,561205.0
37150,NEW DELHI,Delhi,110058.0
37151,Chennai,Tamil Nadu,600126.0
37152,Chennai,Tamil Nadu,600126.0
37153,GREATER NOIDA,Uttar Pradesh,201310.0
37154,GREATER NOIDA,Uttar Pradesh,201310.0
37155,GREATER NOIDA,Uttar Pradesh,201310.0
37156,GREATER NOIDA,Uttar Pradesh,201310.0
37157,GREATER NOIDA,Uttar Pradesh,201310.0
37158,PUNE,Maharashtra,411041.0
37159,MUMBAI,Maharashtra,400053.0
37160,Bangalore,Karnataka,560056.0
37161,SURAT,Gujarat,395017.0
37162,CHENNAI,Tamil Nadu,600115.0
37163,SURAT,Gujarat,395007.0
37164,SURAT,Gujarat,395007.0
37165,SURAT,Gujarat,395007.0
37166,PUNE,Maharashtra,412307.0
37167,NEW DELHI,Delhi,110046.0
37168,NEW DELHI,Delhi,110046.0
37169,NEW DELHI,Delhi,110088.0
37170,SALEM,Tamil Nadu,636001.0
37171,KALABURGI,Karnataka,585102.0
37172,MUMBAI,Maharashtra,400092.0
37173,BUNGAL,Punjab,145001.0
37174,FARIDABAD,Haryana,121006.0
37175,RAJSAMAND,Rajasthan,313324.0
37176,delhi,Delhi,110030.0
37177,BENGALURU,Karnataka,560028.0
37178,CHHATRAPUR,Odisha,761020.0
37179,AURANGABAD,Maharashtra,431001.0
37180,Rewari,Haryana,123401.0
37181,KRISHNARAJPET,Karnataka,571426.0
37182,Pala,Kerala,686576.0
37183,NEW DELHI,Delhi,110075.0
37184,VADODARA,Gujarat,390012.0
37185,MUMBAI,Maharashtra,400101.0
37186,NEW DELHI,Delhi,110027.0
37187,KATHUA,Jammu & Kashmir,184102.0
37188,MUMBAI,Maharashtra,400092.0
37189,Haldwani,Uttarakhand,263139.0
37190,THANE,Maharashtra,400607.0
37191,CHENNAI,Tamil Nadu,600126.0
37192,NEW DELHI,Delhi,110019.0
37193,KATHUA,Jammu & Kashmir,184102.0
37194,HYDERABAD,Telangana,500094.0
37195,BANGALORE,Karnataka,560017.0
37196,PORT BLAIR,Andaman & Nicobar Islands,744101.0
37197,MUMBAI,Maharashtra,400103.0
37198,PUDUPAKKAM,Tamil Nadu,603103.0
37199,MIRIK,West Bengal,734214.0
37200,VADODARA,Gujarat,390025.0
37201,BENGALURU,Karnataka,560054.0
37202,NEWASA,Maharashtra,414603.0
37203,PUNE,Maharashtra,411030.0
37204,Kolkata,West Bengal,700034.0
37205,LUCKNOW,Uttar Pradesh,226001.0
37206,KOLAR,Karnataka,563146.0
37207,BENGALURU,Karnataka,560035.0
37208,LAKHIMPUR,Uttar Pradesh,262701.0
37209,GHAZIABAD,Uttar Pradesh,201012.0
37210,GHAZIABAD,Uttar Pradesh,201012.0
37211,PATNA,Bihar,800020.0
37212,BAREILLY,Uttar Pradesh,243001.0
37213,BAREILLY,Uttar Pradesh,243001.0
37214,BAREILLY,Uttar Pradesh,243001.0
37215,KOKRAJHAR,Assam,783375.0
37216,THANE,Maharashtra,401107.0
37217,Kuzhupilly,Kerala,682502.0
37218,KOLKATA,West Bengal,700042.0
37219,KUPPAM,Andhra Pradesh,517425.0
37220,BHUPALPALLE,Telangana,506169.0
37221,UTTAR BAGDOGRA,West Bengal,734014.0
37222,MUMBAI,Maharashtra,400053.0
37223,MUMBAI,Maharashtra,400053.0
37224,KOCHI,Kerala,682005.0
